Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
"Грунт ГФ-021 Pufas Decoself серый (1,9 кг)","ЛКМ, пены, герметики",Грунтовочные составы,Антикоррозионные грунты по металлу,грунт гф-021 pufas decoself серый (19 кг),грунт гф-021 pufas decoself серый (19 кг)
"Грунтовка-концентрат 1:3 Pufas Decoself укрепляющая, мороз. (1 л)","ЛКМ, пены, герметики",Грунтовочные составы,Грунтовки,грунтовка-концентрат 13 pufas decoself укрепляющая мороз (1 л),грунтовка-концентрат 13 pufas decoself укрепляющая мороз (1 л)
Клей для обоев Момент Флизелин (200 г),"ЛКМ, пены, герметики","Клей, жидкие гвозди",Клей для обоев,клей обоев момент флизелин (200 г),клей обоев момент флизелин (200 г)
"Краска колеровочная для в/д красок Pufas N03 желтая (0,75 л)","ЛКМ, пены, герметики",Краски,Пигменты и колеры для краски,краска колеровочная в/д красок pufas желтая (075 л),краска колеровочная в/д красок pufas желтая (075 л)
"Краска фасадная Pufas Decoself основа A белая морозостойкая (1,4 кг)","ЛКМ, пены, герметики",Краски,Фасадные краски,краска фасадная pufas decoself основа a белая морозостойкая (14 кг),краска фасадная pufas decoself основа a белая морозостойкая (14 кг)
"Клей монтажный Tytan Керамика & Камень (0,31 л)","ЛКМ, пены, герметики","Клей, жидкие гвозди",Жидкие гвозди,клей монтажный tytan керамика & камень (031 л),клей монтажный tytan керамика & камень (031 л)
Пена полиуретановая монтажная Kudo Trend Window 60 (1 л),"ЛКМ, пены, герметики",Пена монтажная,Пена профессиональная,пена полиуретановая монтажная kudo trend window 60 (1 л),пена полиуретановая монтажная kudo trend window 60 (1 л)
"Эмаль акриловая Kudo KU-A9005 чёрная высокоглянцевая (0,52 л)","ЛКМ, пены, герметики",Краски,Эмали,эмаль акриловая kudo ku- чёрная высокоглянцевая (052 л),эмаль акриловая kudo ku- чёрная высокоглянцевая (052 л)
Огнебиозащита Neomid 450 2 группа огнезащитной эффективности (10 кг),"ЛКМ, пены, герметики",Антисептики и пропитки для дерева,Огнебиозащитные,огнебиозащита neomid 450 2 группа огнезащитной эффективности (10 кг),огнебиозащита neomid 450 2 группа огнезащитной эффективности (10 кг)
"Краска моющаяся Tikkurila Euro Power 7 основа А матовая (2,7 л)","ЛКМ, пены, герметики",Краски,Краски вододисперсионные,краска моющаяся tikkurila euro power 7 основа а матовая (27 л),краска моющаяся tikkurila euro power 7 основа а матовая (27 л)
"Герметик силиконовый Makroflex AX104 универсальный, белый (0,085 л)","ЛКМ, пены, герметики",Герметики,Герметики силиконовые,герметик силиконовый makroflex универсальный белый (0085 л),герметик силиконовый makroflex универсальный белый (0085 л)
"Грунт-эмаль аэрозольная для пластика Kudo KU-6001 серая (0,52 л)","ЛКМ, пены, герметики",Грунтовочные составы,Грунтовки,грунт-эмаль аэрозольная пластика kudo серая (052 л),грунт-эмаль аэрозольная пластика kudo серая (052 л)
"Паста колеровочная универсальная Pufas 05 персик (0,45 л)","ЛКМ, пены, герметики",Краски,Пигменты и колеры для краски,паста колеровочная универсальная pufas 05 персик (045 л),паста колеровочная универсальная pufas 05 персик (045 л)
Удалитель солей и нитратных выделений Pufas Fassaden-Clean (10 л),"ЛКМ, пены, герметики",Краски,Фасадные краски,удалитель солей и нитратных выделений pufas fassaden-clean (10 л),удалитель солей и нитратных выделений pufas fassaden-clean (10 л)
"Антисептик лессирующий для дерева Pufas ProNatur персик (0,8 л)","ЛКМ, пены, герметики",Антисептики и пропитки для дерева,Биозащитные,антисептик лессирующий дерева pufas pronatur персик (08 л),антисептик лессирующий дерева pufas pronatur персик (08 л)
Антисептик Текс Bioteks состав 2в1 палисандр (9 л),"ЛКМ, пены, герметики",Антисептики и пропитки для дерева,Декоративные,антисептик текс bioteks состав 2в1 палисандр (9 л),антисептик текс bioteks состав 2в1 палисандр (9 л)
"Паста колеровочная универсальная Pufas 14 изумруд (0,1 л)","ЛКМ, пены, герметики",Краски,Пигменты и колеры для краски,паста колеровочная универсальная pufas 14 изумруд (01 л),паста колеровочная универсальная pufas 14 изумруд (01 л)
Эмаль для бетонных полов Текс Профи серая (9 л),"ЛКМ, пены, герметики",Краски,Эмали,эмаль бетонных полов текс профи серая (9 л),эмаль бетонных полов текс профи серая (9 л)
"Пена полиуретановая монтажная Donwell 65, огнестойкая, всесезонная (1 л)","ЛКМ, пены, герметики",Пена монтажная,Пена профессиональная,пена полиуретановая монтажная donwell 65 огнестойкая всесезонная (1 л),пена полиуретановая монтажная donwell 65 огнестойкая всесезонная (1 л)
"Грунт-эмаль Pufas Decoself 3 в 1 глянцевая серая (1,9 кг)","ЛКМ, пены, герметики",Грунтовочные составы,Антикоррозионные грунты по металлу,грунт-эмаль pufas decoself 3 в 1 глянцевая серая (19 кг),грунт-эмаль pufas decoself 3 в 1 глянцевая серая (19 кг)
"Герметик силиконовый Экон универсальный, прозрачный (0,07 л)","ЛКМ, пены, герметики",Герметики,Герметики силиконовые,герметик силиконовый экон универсальный прозрачный (007 л),герметик силиконовый экон универсальный прозрачный (007 л)
Краска в/д для потолка Текс Профи супербелая (9 л),"ЛКМ, пены, герметики",Краски,Краски вододисперсионные,краска в/д потолка текс профи супербелая (9 л),краска в/д потолка текс профи супербелая (9 л)
Пистолет для монтажной пены Biber 60113 Стандарт,"ЛКМ, пены, герметики",Пена монтажная,Пистолеты для монтажной пены,пистолет монтажной пены biber 60113 стандарт,пистолет монтажной пены biber 60113 стандарт
"Очиститель монтажной пены Donwell (0,65 л)","ЛКМ, пены, герметики",Пена монтажная,Очиститель монтажной пены,очиститель монтажной пены donwell (065 л),очиститель монтажной пены donwell (065 л)
"Грунтовка-концентрат 1:6 Pufas влагозащитная, мороз. (1 л)","ЛКМ, пены, герметики",Грунтовочные составы,Грунтовки,грунтовка-концентрат 16 pufas влагозащитная мороз (1 л),грунтовка-концентрат 16 pufas влагозащитная мороз (1 л)
"Уайт-спирит Ивитек (0,5 л)","ЛКМ, пены, герметики",Растворители и очистители,Растворители,уайт-спирит ивитек (05 л),уайт-спирит ивитек (05 л)
Клей монтажный Момент FIX Эксперт (380 г),"ЛКМ, пены, герметики","Клей, жидкие гвозди",Жидкие гвозди,клей монтажный момент fix эксперт (380 г),клей монтажный момент fix эксперт (380 г)
Краска в/д влагостойкая Текс Универсал (14 кг),"ЛКМ, пены, герметики",Краски,Краски вододисперсионные,краска в/д влагостойкая текс универсал (14 кг),краска в/д влагостойкая текс универсал (14 кг)
"Краска колеровочная для в/д красок Pufas N11 черная (0,75 л)","ЛКМ, пены, герметики",Краски,Пигменты и колеры для краски,краска колеровочная в/д красок pufas черная (075 л),краска колеровочная в/д красок pufas черная (075 л)
"Валик Biber 32516, полиакрил, с бюгелем, ворс 17 мм, 230 мм","ЛКМ, пены, герметики",Малярный инструмент,Валики и аксессуары,валик biber 32516 полиакрил с бюгелем ворс 17 мм 230 мм,валик biber 32516 полиакрил с бюгелем ворс 17 мм 230 мм
"Выключатель автоматический TDM ВА 47-29, 4,5кА, С 32А, 1П",Электрика,Электрощитовое оборудование,Модульное оборудование,выключатель автоматический tdm ва 47-29 45ка с 32а 1п,выключатель автоматический tdm ва 47-29 45ка с 32а 1п
"Розетка Atlasdesign SE ATN000124, 2 гнезда, в сборе, с/з, 16А, IP20",Электрика,"Розетки, выключатели, рамки",По коллекциям,розетка atlasdesign se 2 гнезда в сборе с/з 16а,розетка atlasdesign se 2 гнезда в сборе с/з 16а
"Светильник LED EKF, с драйвером, универсальный, призма, 595х595х19 мм, 36Вт, 6500К, IP20",Электрика,Освещение,Технические светильники,светильник led ekf с драйвером универсальный призма 595х595х19 мм 36вт 6500к,светильник led ekf с драйвером универсальный призма 595х595х19 мм 36вт 6500к
"Клеммная колодка ЗВИ-5 (0,75-4 мм2) 12 секций 380В, 100оС, н/г",Электрика,Аксессуары для монтажа кабеля и провода,Клеммные соединения,клеммная колодка зви-5 (075-4 мм2) 12 секций 380в 100ос н/г,клеммная колодка зви-5 (075-4 мм2) 12 секций 380в 100ос н/г
"Розетка EKF Минск ERR10-022-100, 1 гнездо, б/з, з/ш, 10А, 230В, IP20",Электрика,"Розетки, выключатели, рамки",Розетки,розетка ekf минск -100 1 гнездо б/з з/ш 10а 230в,розетка ekf минск -100 1 гнездо б/з з/ш 10а 230в
"Коробка разветвительная КР-2601-И о/у 4 ввода, d=65мм h=40мм, IP55",Электрика,Монтажные коробки,Распределительные коробки,коробка разветвительная кр-2601-и о/у 4 ввода d=65мм h=40мм,коробка разветвительная кр-2601-и о/у 4 ввода d=65мм h=40мм
"Светильник LED декоративный Пандора 18Вт, d=260мм, 6500К, IP20",Электрика,Освещение,Освещение жилых помещений,светильник led декоративный пандора 18вт d=260мм 6500к,светильник led декоративный пандора 18вт d=260мм 6500к
"Шина ""N"" нулевая в изол. оболочке на DIN-рейку 125А, 8х12мм (10 отв.)",Электрика,Электрощитовое оборудование,Комплектующие для щитов,шина n нулевая в изол оболочке на din-рейку 125а 8х12мм (10 отв),шина n нулевая в изол оболочке на din-рейку 125а 8х12мм (10 отв)
Дюбель-хомут для плоского кабеля 5-10 мм нейлон белый (уп. 100 шт.),Электрика,Аксессуары для монтажа кабеля и провода,Крепление и маркировка кабеля,дюбель-хомут плоского кабеля 5-10 мм нейлон белый (уп 100 шт),дюбель-хомут плоского кабеля 5-10 мм нейлон белый (уп 100 шт)
"Адаптер-переходник Universal А109, 6А, 230В, ABS-пластик, б/з",Электрика,"Удлинители, разветвители и аксессуары","Разветвители, адаптеры",адаптер-переходник universal а109 6а 230в abs-пластик б/з,адаптер-переходник universal а109 6а 230в abs-пластик б/з
"Переключатель в рамку с/у Таймыр SQ1814-0007, 1 клавиша, 10А, IP20",Электрика,"Розетки, выключатели, рамки",Выключатели,переключатель в рамку с/у таймыр -0007 1 клавиша 10а,переключатель в рамку с/у таймыр -0007 1 клавиша 10а
"Лампа светодиодная LED E27, груша, 7 Вт, 4000К, нейтральный свет",Электрика,Освещение,Лампы,лампа светодиодная led груша 7 вт 4000к нейтральный свет,лампа светодиодная led груша 7 вт 4000к нейтральный свет
"Светильник НПБ под Е27, 60Вт, 230В, IP54, круг, белый, металл+стекло",Электрика,Освещение,Технические светильники,светильник нпб под е27 60вт 230в круг белый металл+стекло,светильник нпб под е27 60вт 230в круг белый металл+стекло
"Выключатель EKF Минск ERV10-123-10, 2 клавиши, с/инд. 10А, 230В, IP20",Электрика,"Розетки, выключатели, рамки",Выключатели,выключатель ekf минск -10 2 клавиши с/инд 10а 230в,выключатель ekf минск -10 2 клавиши с/инд 10а 230в
Дюбель-хомут для плоского кабеля 5-10 мм нейлон белый (уп. 100 шт.),Электрика,Аксессуары для монтажа кабеля и провода,Крепление и маркировка кабеля,дюбель-хомут плоского кабеля 5-10 мм нейлон белый (уп 100 шт),дюбель-хомут плоского кабеля 5-10 мм нейлон белый (уп 100 шт)
Таймер в розетку механический программируемый 30 мин/24ч 16А,Электрика,Освещение,Датчики освещения и движения,таймер в розетку механический программируемый 30 мин/24ч 16а,таймер в розетку механический программируемый 30 мин/24ч 16а
"Лампа светодиодная LED Т8/G13, 20Вт, L/d=1200/25мм, 6500К, хол.свет",Электрика,Освещение,Лампы,лампа светодиодная led т8/ 20вт l/d=1200/25мм 6500к холсвет,лампа светодиодная led т8/ 20вт l/d=1200/25мм 6500к холсвет
"Соединительный зажим СИЗ-1 для провода 1,0-3,0мм2, (уп. 50 шт.)",Электрика,Аксессуары для монтажа кабеля и провода,Клеммные соединения,50,соединительный зажим сиз-1 провода 10-30мм2 (уп 50 шт)
"Держатель-клипса для труб, пластик, d=16 мм, серый (10 шт.)",Электрика,Аксессуары для монтажа кабеля и провода,Крепление и маркировка кабеля,держатель-клипса труб пластик d=16 мм серый (10 шт),держатель-клипса труб пластик d=16 мм серый (10 шт)
"Фонарь Era RB-704 LED на 3хААА, 5Вт, магнит, крючок, корпус сгибается",Электрика,Освещение,Фонари,фонарь era led на 3хааа 5вт магнит крючок корпус сгибается,фонарь era led на 3хааа 5вт магнит крючок корпус сгибается
"Труба ПВХ легкого типа с зондом EKF, d=20 мм, гофра (бухта-100 п.м.)",Электрика,Кабеленесущие системы,Трубы для прокладки кабеля,труба пвх легкого типа с зондом ekf d=20 мм гофра (бухта-100 пм),труба пвх легкого типа с зондом ekf d=20 мм гофра (бухта-100 пм)
"Светильник LED 40Вт Neox, 595х595х22мм, опал (равномерная засветка), 6500К, с драйвером, IP40",Электрика,Освещение,Освещение жилых помещений,светильник led 40вт neox 595х595х22мм опал (равномерная засветка) 6500к с драйвером,светильник led 40вт neox 595х595х22мм опал (равномерная засветка) 6500к с драйвером
"Переключатель о/у Ладога SQ1801-0005, 1 клавиша, 10А, 230В, IP20",Электрика,"Розетки, выключатели, рамки",По коллекциям,переключатель о/у ладога -0005 1 клавиша 10а 230в,переключатель о/у ладога -0005 1 клавиша 10а 230в
"Розетка о/у Ладога SQ1801-0130, 4 гнезда, с/з, 16А, 230В, IP20",Электрика,"Розетки, выключатели, рамки",По коллекциям,розетка о/у ладога -0130 4 гнезда с/з 16а 230в,розетка о/у ладога -0130 4 гнезда с/з 16а 230в
"Светильник LED линейный 18Вт Neox, 592х75х26 мм, 4000К, 230В, IP40, опал",Электрика,Освещение,Технические светильники,светильник led линейный 18вт neox 592х75х26 мм 4000к 230в опал,светильник led линейный 18вт neox 592х75х26 мм 4000к 230в опал
"Шина ""N"" нулевая с изолятором на DIN-рейку 100А, 6х9 мм (12 отв.) большая стойка",Электрика,Электрощитовое оборудование,Комплектующие для щитов,шина n нулевая с изолятором на din-рейку 100а 6х9 мм (12 отв) большая стойка,шина n нулевая с изолятором на din-рейку 100а 6х9 мм (12 отв) большая стойка
"Изолента ПВХ Biber, белая, 13 мм х 11 м",Электрика,Аксессуары для монтажа кабеля и провода,Изоляция кабеля,изолента пвх biber белая 13 мм х 11 м,изолента пвх biber белая 13 мм х 11 м
"Труба ПВХ легкого типа с зондом EKF, d=16 мм, гофра (бухта-25 п.м.)",Электрика,Кабеленесущие системы,Трубы для прокладки кабеля,труба пвх легкого типа с зондом ekf d=16 мм гофра (бухта-25 пм),труба пвх легкого типа с зондом ekf d=16 мм гофра (бухта-25 пм)
"Лампа светодиодная LED E27, груша, 14Вт, 6500К, хол.свет",Электрика,Освещение,Лампы,лампа светодиодная led груша 14вт 6500к холсвет,лампа светодиодная led груша 14вт 6500к холсвет
"Колодка 4 гнезда E204 б/з, 10 А, 230 В, АВС-пластик, белая",Электрика,"Удлинители, разветвители и аксессуары",Колодки для удлинителей,колодка 4 гнезда б/з 10 а 230 в авс-пластик белая,колодка 4 гнезда б/з 10 а 230 в авс-пластик белая
"Фонарь Era GA-805 LED налобный, 5Вт, 2.4А*ч Li-Ion 2х18650, фокус, USB",Электрика,Освещение,Фонари,фонарь era led налобный 5вт 24а*ч li-ion 2х18650 фокус usb,фонарь era led налобный 5вт 24а*ч li-ion 2х18650 фокус usb
Коробка установочная КУ-1203-И с/у д/полых стен d=68мм h=40мм,Электрика,Монтажные коробки,Распределительные коробки,коробка установочная ку-1203-и с/у д/полых стен d=68мм h=40мм,коробка установочная ку-1203-и с/у д/полых стен d=68мм h=40мм
"Провод ПВС 3х2,5 мм², белый (бухта-100 п.м.) ГОСТ 7399-97",Электрика,"Кабель, провод",Провод монтажный бытовой,провод пвс 3х25 мм² белый (бухта-100 пм) гост 7399-97,провод пвс 3х25 мм² белый (бухта-100 пм) гост 7399-97
"Вилка прямая разборная Makel 10027, 16А, 230В, с/з, белая",Электрика,"Удлинители, разветвители и аксессуары",Штепсельные вилки,вилка прямая разборная makel 10027 16а 230в с/з белая,вилка прямая разборная makel 10027 16а 230в с/з белая
"Вилка угловая разборная с ушком А112 16А, 230В, с/з, белая",Электрика,"Удлинители, разветвители и аксессуары",Штепсельные вилки,вилка угловая разборная с ушком а112 16а 230в с/з белая,вилка угловая разборная с ушком а112 16а 230в с/з белая
"Удлинитель-шнур силовой на рамке ПВС 2х1, 2200Вт, 10А, б/з, IP44, 30м",Электрика,"Удлинители, разветвители и аксессуары",Удлинители силовые,удлинитель-шнур силовой на рамке пвс 2х1 2200вт 10а б/з 30м,удлинитель-шнур силовой на рамке пвс 2х1 2200вт 10а б/з 30м
"Блок БКВР Ладога SQ1801-0101, 1 клавиша 10А+1 гнездо с/з 16А, IP20",Электрика,"Розетки, выключатели, рамки",Выключатели с розеткой,блок бквр ладога -0101 1 клавиша 10а+1 гнездо с/з 16а,блок бквр ладога -0101 1 клавиша 10а+1 гнездо с/з 16а
"Светильник LED ЖКХ 18Вт, 4000К, 230В, IP65, круг, белый",Электрика,Освещение,Технические светильники,светильник led жкх 18вт 4000к 230в круг белый,светильник led жкх 18вт 4000к 230в круг белый
"Рамка EKF Минск ERM-G-303-10 3-х постовая, горизонтальная, IP20",Электрика,"Розетки, выключатели, рамки",Рамки для розеток и выключателей,рамка ekf минск erm-g-303-10 3-х постовая горизонтальная,рамка ekf минск erm-g-303-10 3-х постовая горизонтальная
"Скоба для эл. кабеля d=10мм IP30, плоская пластиковая (уп. 50 шт.)",Электрика,Аксессуары для монтажа кабеля и провода,Крепление и маркировка кабеля,скоба эл кабеля d=10мм плоская пластиковая (уп 50 шт),скоба эл кабеля d=10мм плоская пластиковая (уп 50 шт)
"Переключатель Atlasdesign Blanca BLNVA106011, 1 клавиша, б/инд, 10А, IP20",Электрика,"Розетки, выключатели, рамки",Выключатели,переключатель atlasdesign blanca 1 клавиша б/инд 10а,переключатель atlasdesign blanca 1 клавиша б/инд 10а
"Шина ""N"" нулевая на двух угловых изоляторах 100А, 6х9мм (14 отв.)",Электрика,Электрощитовое оборудование,Комплектующие для щитов,шина n нулевая на двух угловых изоляторах 100а 6х9мм (14 отв),шина n нулевая на двух угловых изоляторах 100а 6х9мм (14 отв)
"Выключатель в рамку с/у Таймыр SQ1814-0003, 3 клавиши, 10А, 230В, IP20",Электрика,"Розетки, выключатели, рамки",По коллекциям,выключатель в рамку с/у таймыр -0003 3 клавиши 10а 230в,выключатель в рамку с/у таймыр -0003 3 клавиши 10а 230в
"Клемма соединительная TDM 2273-244 4-х проводная 1,0-2,5 мм2 (130 шт.)",Электрика,Аксессуары для монтажа кабеля и провода,Клеммные соединения,клемма соединительная tdm 2273-244 4-х проводная 10-25 мм2 (130 шт),клемма соединительная tdm 2273-244 4-х проводная 10-25 мм2 (130 шт)
Коробка установочная КУ-1101-И с/у д/сплошных стен d=68мм h=42мм,Электрика,Монтажные коробки,Распределительные коробки,коробка установочная ку-1101-и с/у д/сплошных стен d=68мм h=42мм,коробка установочная ку-1101-и с/у д/сплошных стен d=68мм h=42мм
"Провод ПВС 2х1,5 мм², белый (бухта-100 п.м.) ГОСТ 7399-97",Электрика,"Кабель, провод",Провод монтажный бытовой,провод пвс 2х15 мм² белый (бухта-100 пм) гост 7399-97,провод пвс 2х15 мм² белый (бухта-100 пм) гост 7399-97
"Термоусадочная трубка ТУТнг d=2/1мм, L=100мм (7 цветов по 3 шт.)",Электрика,Аксессуары для монтажа кабеля и провода,Изоляция кабеля,термоусадочная трубка тутнг d=2/1мм l=100мм (7 цветов по 3 шт),термоусадочная трубка тутнг d=2/1мм l=100мм (7 цветов по 3 шт)
"Скоба для эл. кабеля d=12мм IP30, плоская пластиковая (уп. 50 шт.)",Электрика,Аксессуары для монтажа кабеля и провода,Крепление и маркировка кабеля,скоба эл кабеля d=12мм плоская пластиковая (уп 50 шт),скоба эл кабеля d=12мм плоская пластиковая (уп 50 шт)
"Провод ВВГмб-Пнг-LS 2х2,5мм2, черный (бухта-100п.м.)",Электрика,"Кабель, провод",Силовой кабель,провод ввгмб-пнг-ls 2х25мм2 черный (бухта-100пм),провод ввгмб-пнг-ls 2х25мм2 черный (бухта-100пм)
"Клеммная колодка ЗВИ-30 (1,5-10 мм2) 12 секций 380В, 100oС, н/г",Электрика,Аксессуары для монтажа кабеля и провода,Клеммные соединения,клеммная колодка зви-30 (15-10 мм2) 12 секций 380в 100oс н/г,клеммная колодка зви-30 (15-10 мм2) 12 секций 380в 100oс н/г
Бокорезы Biber 85448 Мастер 180 мм,Инструмент,Ручной инструмент,Режущий инструмент,бокорезы biber 85448 мастер 180 мм,бокорезы biber 85448 мастер 180 мм
Коронка алмазная Trigger 78045 45х70мм,Инструмент,Расходные материалы и оснастка к электроинструменту,Коронки и насадки,коронка алмазная trigger 78045 45х70мм,коронка алмазная trigger 78045 45х70мм
Затвор предохранительный кислородный ЗП-3К-111,Инструмент,Сварочное оборудование,Газовые горелки и комплектующие,затвор предохранительный кислородный зп-3к-111,затвор предохранительный кислородный зп-3к-111
Лестница универсальная Biber 98427 2-х секционная 7 ступеней,Инструмент,Оборудование для высотных работ,Лестницы,лестница универсальная biber 98427 2-х секционная 7 ступеней,лестница универсальная biber 98427 2-х секционная 7 ступеней
Брусок для шлифовальной бумаги Biber 70855 с зажимом 80х225 мм,Инструмент,Абразивные материалы,"Бруски, блоки шлифовальные",брусок шлифовальной бумаги biber 70855 с зажимом 80х225 мм,брусок шлифовальной бумаги biber 70855 с зажимом 80х225 мм
Уровень Biber 40301 Профи двутавровый ударопрочный 400 мм 3 глазка,Инструмент,Измерительные и разметочные инструменты,Уровни строительные,уровень biber 40301 профи двутавровый ударопрочный 400 мм 3 глазка,уровень biber 40301 профи двутавровый ударопрочный 400 мм 3 глазка
Полукомбинезон зимний (3 класс теплозащиты) размер 48-50/170-176,Инструмент,Средства защиты и спецодежда,Спецодежда,полукомбинезон зимний (3 класс теплозащиты) размер 48-50/170-176,полукомбинезон зимний (3 класс теплозащиты) размер 48-50/170-176
Кисть круглая Biber 31186 Стандарт 50 мм,Инструмент,Малярный инструмент,Кисти,кисть круглая biber 31186 стандарт 50 мм,кисть круглая biber 31186 стандарт 50 мм
Бумага шлифовальная AS4310 коричневая 115 мм Р100 рулон 5 м,Инструмент,Абразивные материалы,Наждачная бумага,бумага шлифовальная коричневая 115 мм р100 рулон 5 м,бумага шлифовальная коричневая 115 мм р100 рулон 5 м
"Перчатки латексные Biber 96271 с х/б напылением, размер S",Инструмент,Средства защиты и спецодежда,Защита рук,перчатки латексные biber 96271 с х/б напылением размер s,перчатки латексные biber 96271 с х/б напылением размер s
"Валик Biber 31553, поролон, 180 мм (2 шт.)",Инструмент,Малярный инструмент,Валики и аксессуары,валик biber 31553 поролон 180 мм (2 шт),валик biber 31553 поролон 180 мм (2 шт)
"Лопатка посадочная Farina 93121, обрезиненная ручка, 350 мм",Инструмент,Ручной инструмент,Садовый инструмент и инвентарь,лопатка посадочная farina 93121 обрезиненная ручка 350 мм,лопатка посадочная farina 93121 обрезиненная ручка 350 мм
"Молоток слесарный Biber 85367 Профи кованый боек 0,8 кг",Инструмент,Ручной инструмент,Ударно-рычажный инструмент,молоток слесарный biber 85367 профи кованый боек 08 кг,молоток слесарный biber 85367 профи кованый боек 08 кг
"Перчатки вязаные п/шерстяные, 5 ниток с ПВХ",Инструмент,Средства защиты и спецодежда,Защита рук,перчатки вязаные п/шерстяные 5 ниток с пвх,перчатки вязаные п/шерстяные 5 ниток с пвх
Зажим СВП (флажок) Biber 88634 1 мм (500 шт.),Инструмент,Специальный инструмент,Инструмент для работы с плиткой,зажим свп (флажок) biber 88634 1 мм (500 шт),зажим свп (флажок) biber 88634 1 мм (500 шт)
Шкурка шлифовальная Biber 70655 Р100 основа водостойкая ткань (10 шт.),Инструмент,Абразивные материалы,Наждачная бумага,шкурка шлифовальная biber 70655 р100 основа водостойкая ткань (10 шт),шкурка шлифовальная biber 70655 р100 основа водостойкая ткань (10 шт)
Кисть флейцевая Biber 31203 Суприм Аква 50 мм,Инструмент,Малярный инструмент,Кисти,кисть флейцевая biber 31203 суприм аква 50 мм,кисть флейцевая biber 31203 суприм аква 50 мм
"Шлифмашина угловая УШМ сетевая Trigger 20032, 0,95кВт, d=125 мм",Инструмент,Электроинструмент,Шлифовальные машины,шлифмашина угловая ушм сетевая trigger 20032 095квт d=125 мм,шлифмашина угловая ушм сетевая trigger 20032 095квт d=125 мм
Бюгель Biber 31717 d=6 мм для валика 100 мм,Инструмент,Малярный инструмент,Валики и аксессуары,бюгель biber 31717 d=6 мм валика 100 мм,бюгель biber 31717 d=6 мм валика 100 мм
"Пистолет для герметиков Biber 60107 9"" полукорпусной усиленный",Инструмент,Монтажный инструмент,Пистолеты для герметиков,пистолет герметиков biber 60107 9 полукорпусной усиленный,пистолет герметиков biber 60107 9 полукорпусной усиленный
Жилет сигнальный оранжевый,Инструмент,Средства защиты и спецодежда,Спецодежда,жилет сигнальный оранжевый,жилет сигнальный оранжевый
Биты Trigger 85963 Профи PZ-1 25 мм (20 шт.),Инструмент,Расходные материалы и оснастка к электроинструменту,Биты,биты trigger 85963 профи pz-1 25 мм (20 шт),биты trigger 85963 профи pz-1 25 мм (20 шт)
Контейнер строительный Biber круглый (90 л),Инструмент,Штукатурный инструмент,Емкости строительные,контейнер строительный biber круглый (90 л),контейнер строительный biber круглый (90 л)
Брусок наждачный Biber 70693 Лодочка 225 мм,Инструмент,Абразивные материалы,"Бруски, блоки шлифовальные",брусок наждачный biber 70693 лодочка 225 мм,брусок наждачный biber 70693 лодочка 225 мм
Коронка алмазная Trigger 78035 35х70мм,Инструмент,Расходные материалы и оснастка к электроинструменту,Коронки и насадки,коронка алмазная trigger 78035 35х70мм,коронка алмазная trigger 78035 35х70мм
Кисть плоская ВАРЯГ 31243 Orel Dupont 50 мм,Инструмент,Малярный инструмент,Кисти,кисть плоская варяг 31243 orel dupont 50 мм,кисть плоская варяг 31243 orel dupont 50 мм
Клапан обратный газовый (пропан/ацетилен) КО-3-Г31,Инструмент,Сварочное оборудование,Газовые горелки и комплектующие,клапан обратный газовый (пропан/ацетилен) ко-3-г31,клапан обратный газовый (пропан/ацетилен) ко-3-г31
Зажим СВП для плитки УГ (900 шт.),Инструмент,Специальный инструмент,Инструмент для работы с плиткой,зажим свп плитки уг (900 шт),зажим свп плитки уг (900 шт)
Рулетка Biber 40105 Direkt 10 м/25 мм,Инструмент,Измерительные и разметочные инструменты,Рулетки,рулетка biber 40105 direkt 10 м/25 мм,рулетка biber 40105 direkt 10 м/25 мм
Струбцина Biber 85854 тип G 125 мм,Инструмент,Ручной инструмент,Зажимные инструменты,струбцина biber 85854 тип g 125 мм,струбцина biber 85854 тип g 125 мм
Уровень Biber 40303 Профи двутавровый ударопрочный 800 мм 3 глазка,Инструмент,Измерительные и разметочные инструменты,Уровни строительные,уровень biber 40303 профи двутавровый ударопрочный 800 мм 3 глазка,уровень biber 40303 профи двутавровый ударопрочный 800 мм 3 глазка
Отражательная пластина Condtrol,Инструмент,Измерительные и разметочные инструменты,Нивелиры,отражательная пластина condtrol,отражательная пластина condtrol
"Шпатель для клея Biber 35282 зуб тип B6, 180 мм",Инструмент,Штукатурный инструмент,"Шпатели, скребки",шпатель клея biber 35282 зуб тип 180 мм,шпатель клея biber 35282 зуб тип 180 мм
Шпатель фасадный Варяг 35226 150 мм,Инструмент,Штукатурный инструмент,"Шпатели, скребки",шпатель фасадный варяг 35226 150 мм,шпатель фасадный варяг 35226 150 мм
Отвертка Biber 86021 Крафтер PH 3х150 мм,Инструмент,Ручной инструмент,Монтажный инструмент,отвертка biber 86021 крафтер ph 3х150 мм,отвертка biber 86021 крафтер ph 3х150 мм
Штроборез по газобетону,Инструмент,Специальный инструмент,Инструмент для газобетона,штроборез по газобетону,штроборез по газобетону
Контейнер строительный Biber прямоугольный (45 л),Инструмент,Штукатурный инструмент,Емкости строительные,контейнер строительный biber прямоугольный (45 л),контейнер строительный biber прямоугольный (45 л)
Перчатки КЩС тип 1 грубые,Инструмент,Средства защиты и спецодежда,Защита рук,перчатки кщс тип 1 грубые,перчатки кщс тип 1 грубые
