Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
"Провод ГОСТ ПВС 2x2,5 10 м",Электрика,Кабели и провода,Силовые кабели,провод гост пвс 2x25 10 м,провод гост пвс 2x25 10 м
Звонок электрический Navigator 61 267 белый,Электрика,Системы наблюдения и оповещения,Дверные звонки,звонок электрический navigator 61 267 белый,звонок электрический navigator 61 267 белый
Выключатель Legrand Valena 695604,Электрика,"Розетки, выключатели и рамки",Выключатели,выключатель legrand valena 695604,выключатель legrand valena 695604
Антенна комнатная REXANT RX-100 аналоговая,Электрика,Телевизионное оборудование,Антенны для ТВ,антенна комнатная rexant аналоговая,антенна комнатная rexant аналоговая
Рамка Schneider Electric ATLAS DESIGN NATURE ATN312304,Электрика,"Розетки, выключатели и рамки",Рамки для розеток,рамка schneider electric atlas design nature,рамка schneider electric atlas design nature
Розетка (колодка) трехместная с защитными крышками IEK ОМЕГА РБ33-1-0м IP44 каучук красная,Электрика,"Удлинители, сетевые фильтры",Колодки для удлинителей,розетка (колодка) трехместная с защитными крышками iek омега рб33-1-0м каучук красная,розетка (колодка) трехместная с защитными крышками iek омега рб33-1-0м каучук красная
Реле напряжения PROxima MRV 63A с дисплеем,Электрика,Щитовое оборудование,Реле напряжения,реле напряжения proxima mrv 63a с дисплеем,реле напряжения proxima mrv 63a с дисплеем
Чехол LUX-TOOLS для гладильной доски 122х37см в асcортименте,Хозяйственные товары,Товары для ухода за одеждой и обувью,Чехлы для гладильной доски,чехол lux-tools гладильной доски 122х37см в асcортименте,чехол lux-tools гладильной доски 122х37см в асcортименте
"Кондиционер Synergetic для белья Аромамагия 1,5 л",Хозяйственные товары,Товары для ухода за одеждой и обувью,Кондиционеры и ополаскиватели,кондиционер synergetic белья аромамагия 15 л,кондиционер synergetic белья аромамагия 15 л
"Гель Synergetic для стирки детского белья 2,75 л",Хозяйственные товары,Товары для стирки,Гели для стирки,гель synergetic стирки детского белья 275 л,гель synergetic стирки детского белья 275 л
Средство универсальное VASH GOLD 307352 500 мл,Хозяйственные товары,Бытовая химия,Средства для туалета и ванной,средство универсальное vash gold 307352 500 мл,средство универсальное vash gold 307352 500 мл
Губка универсальная TRENDTIME «PROFESSIONAL» 165х95х45мм,Хозяйственные товары,Товары для уборки,"Губки, тряпки, салфетки для уборки",губка универсальная trendtime «professional» 165х95х45мм,губка универсальная trendtime «professional» 165х95х45мм
Перчатки хозяйственные Vileda Comfort and Care S,Хозяйственные товары,Товары для уборки,Перчатки для уборки,перчатки хозяйственные vileda comfort and care s,перчатки хозяйственные vileda comfort and care s
"Сушилка для белья металлическая JOY Home 54х75 см, черный",Хозяйственные товары,Товары для ухода за одеждой и обувью,Сушилки для белья,сушилка белья металлическая joy home 54х75 см черный,сушилка белья металлическая joy home 54х75 см черный
"Ведро для мытья полов 12л, мятный",Хозяйственные товары,Товары для уборки,Ведра и тазы для уборки,ведро мытья полов 12л мятный,ведро мытья полов 12л мятный
Мешок КАЛИБР 2 шт,Хозяйственные товары,Техника для дома,Аксессуары для пылесосов,мешок калибр 2 шт,мешок калибр 2 шт
"Сушилка для белья стальная GIMI 80х19 см, белый",Хозяйственные товары,Товары для ухода за одеждой и обувью,Сушилки для белья,сушилка белья стальная gimi 80х19 см белый,сушилка белья стальная gimi 80х19 см белый
Мусорное ведро для ванной 258253 зеленое,Хозяйственные товары,Товары для уборки,Баки и урны для мусора,мусорное ведро ванной 258253 зеленое,мусорное ведро ванной 258253 зеленое
Мешки для мусора APEX 60л 30шт,Хозяйственные товары,Товары для уборки,Мешки для мусора,мешки мусора apex 60л 30шт,мешки мусора apex 60л 30шт
"Кондиционер для белья GRASS EVA flower концентрированный 1,8 л",Хозяйственные товары,Товары для стирки,Кондиционеры и ополаскиватели для белья,кондиционер белья grass eva flower концентрированный 18 л,кондиционер белья grass eva flower концентрированный 18 л
Стеклоочиститель KARCHER WV 2 Plus 1.633-490.0,Хозяйственные товары,Техника для дома,Стеклоочистители,стеклоочиститель karcher wv 2 plus 1633-4900,стеклоочиститель karcher wv 2 plus 1633-4900
"Гель для стирки Vilor для цветного белья, 5 л",Хозяйственные товары,Товары для стирки,Гели для стирки,гель стирки vilor цветного белья 5 л,гель стирки vilor цветного белья 5 л
"Bagi Classic Шуманит жироудалитель, 400 мл",Хозяйственные товары,Бытовая химия,Средства для кухни и дома,bagi classic шуманит жироудалитель 400 мл,bagi classic шуманит жироудалитель 400 мл
"Отбеливатель Антипятин для белых вещей с активным кислородом и энзимами, 120 гр",Хозяйственные товары,Товары для стирки,Отбеливатели для белья,отбеливатель антипятин белых вещей с активным кислородом и энзимами 120 гр,отбеливатель антипятин белых вещей с активным кислородом и энзимами 120 гр
Ловушка от пищевой моли РАПТОР 2 шт,Хозяйственные товары,Товары для ухода за одеждой и обувью,Саше и средства от моли,ловушка от пищевой моли раптор 2 шт,ловушка от пищевой моли раптор 2 шт
Очиститель-полироль для мебели Torus 600 мл,Хозяйственные товары,Бытовая химия,Средства для кухни и дома,очиститель-полироль мебели torus 600 мл,очиститель-полироль мебели torus 600 мл
Туалетная Бумага ZEWA Плюс 25 м 2-ух слойная 12 рулонов,Хозяйственные товары,Товары для уборки,"Губки, тряпки, салфетки для уборки",туалетная бумага zewa плюс 25 м 2-ух слойная 12 рулонов,туалетная бумага zewa плюс 25 м 2-ух слойная 12 рулонов
Совок с зубчиками,Хозяйственные товары,Товары для уборки,Совки и щетки для уборки,совок с зубчиками,совок с зубчиками
Щетка APEX с качающимся совком 27х90 см,Хозяйственные товары,Товары для уборки,Наборы для уборки,щетка apex с качающимся совком 27х90 см,щетка apex с качающимся совком 27х90 см
"Губка для изделий из кожи SALTON черная 6х5,5 см",Хозяйственные товары,Товары для ухода за одеждой и обувью,Средства для чистки и защиты обуви,губка изделий из кожи salton черная 6х55 см,губка изделий из кожи salton черная 6х55 см
Щётка для уборки внутри помещений 32X5X12,Хозяйственные товары,Товары для уборки,Совки и щетки для уборки,щётка уборки внутри помещений 32x5x12,щётка уборки внутри помещений 32x5x12
"Перчатки хозяйственные ЧИСТЮЛЯ с хлопковым напылением, размер M",Хозяйственные товары,Товары для уборки,Перчатки для уборки,перчатки хозяйственные чистюля с хлопковым напылением размер m,перчатки хозяйственные чистюля с хлопковым напылением размер m
Ведро для стирального порошка Plast Team 10л натуральный,Хозяйственные товары,Бытовая химия,Средства для стирки,ведро стирального порошка plast team 10л натуральный,ведро стирального порошка plast team 10л натуральный
Фильтр HEPA DAEWOO DAVC 25HF,Хозяйственные товары,Техника для дома,Аксессуары для пылесосов,фильтр hepa daewoo davc 25hf,фильтр hepa daewoo davc 25hf
Салфетка микрофибра для пола 60х70 см Goodesta 220 г/м2 хедер,Хозяйственные товары,Товары для уборки,"Губки, тряпки, салфетки для уборки",салфетка микрофибра пола 60х70 см goodesta 220 г/м2 хедер,салфетка микрофибра пола 60х70 см goodesta 220 г/м2 хедер
Метелка для пыли APEX FR30125 50х27 см,Хозяйственные товары,Товары для уборки,Совки и щетки для уборки,метелка пыли apex 50х27 см,метелка пыли apex 50х27 см
"Натуральный антицеллюлитный кокосовый скраб для тела MY MUSE, 250 грамм",Хозяйственные товары,Бытовая химия,Средства по уходу за телом,натуральный антицеллюлитный кокосовый скраб тела my muse 250 грамм,натуральный антицеллюлитный кокосовый скраб тела my muse 250 грамм
"Универсальный чистящий гель Sanfor Белизна отбеливатель, 5 л",Хозяйственные товары,Бытовая химия,Средства для кухни и дома,универсальный чистящий гель sanfor белизна отбеливатель 5 л,универсальный чистящий гель sanfor белизна отбеливатель 5 л
Корзина для бумаг 10 л белый 28х28х28 см,Хозяйственные товары,Товары для уборки,Баки и урны для мусора,корзина бумаг 10 л белый 28х28х28 см,корзина бумаг 10 л белый 28х28х28 см
Фильтр-мешок грубой очистки DAEWOO DAVC 60PF,Хозяйственные товары,Техника для дома,Аксессуары для пылесосов,фильтр-мешок грубой очистки daewoo davc 60pf,фильтр-мешок грубой очистки daewoo davc 60pf
Бумажные полотенца универсальные House Lux 25х40 см 70 шт,Хозяйственные товары,Товары для уборки,"Губки, тряпки, салфетки для уборки",бумажные полотенца универсальные house lux 25х40 см 70 шт,бумажные полотенца универсальные house lux 25х40 см 70 шт
Фильтр-мешок бумажный DAEWOO DAVC 25PB 3 шт,Хозяйственные товары,Техника для дома,Аксессуары для пылесосов,фильтр-мешок бумажный daewoo davc 25pb 3 шт,фильтр-мешок бумажный daewoo davc 25pb 3 шт
"Стеклоочиститель You'll love большой поворотный со съемной насадкой, серый",Хозяйственные товары,Товары для уборки,Стеклоочистители для окон,стеклоочиститель you'll love большой поворотный со съемной насадкой серый,стеклоочиститель you'll love большой поворотный со съемной насадкой серый
Средство для мытья пола Чистин Морская волна 1 л,Хозяйственные товары,Бытовая химия,Средства для кухни и дома,средство мытья пола чистин морская волна 1 л,средство мытья пола чистин морская волна 1 л
Мусорные мешки 60л/10шт с завязками высокопрочные синие,Хозяйственные товары,Товары для уборки,Мешки для мусора,мусорные мешки 60л/10шт с завязками высокопрочные синие,мусорные мешки 60л/10шт с завязками высокопрочные синие
Рукав для гладильной доски COLOMBO разноцветный 130х50 см,Хозяйственные товары,Товары для ухода за одеждой и обувью,Чехлы для гладильной доски,рукав гладильной доски colombo разноцветный 130х50 см,рукав гладильной доски colombo разноцветный 130х50 см
Ведро Plast Team AMPARI 10л серый шторм,Хозяйственные товары,Товары для уборки,Ведра и тазы для уборки,ведро plast team ampari 10л серый шторм,ведро plast team ampari 10л серый шторм
Насадка для швабры Микрофибра синий,Хозяйственные товары,Товары для уборки,Швабры и насадки,насадка швабры микрофибра синий,насадка швабры микрофибра синий
"Пакеты для мусора Malibri с ароматом 30 л, в ассортименте, 50 шт",Хозяйственные товары,Товары для уборки,Мешки для мусора,пакеты мусора malibri с ароматом 30 л в ассортименте 50 шт,пакеты мусора malibri с ароматом 30 л в ассортименте 50 шт
Стяжка резиновая KARCHER WV 50,Хозяйственные товары,Техника для дома,Аксессуары для пылесосов,стяжка резиновая karcher wv 50,стяжка резиновая karcher wv 50
Набор прищепок 10 шт,Хозяйственные товары,Товары для ухода за одеждой и обувью,Прищепки и бельевые веревки,прищепок 10 шт,прищепок 10 шт
МЕШКИ 30ШТ Д/МУСОРА  ПНД 30Л,Хозяйственные товары,Товары для уборки,Мешки для мусора,мешки 30шт д/мусора пнд 30л,мешки 30шт д/мусора пнд 30л
"Стиральный порошок универсальный WONDER LAB, 3 кг",Хозяйственные товары,Бытовая химия,Средства для стирки,стиральный порошок универсальный wonder lab 3 кг,стиральный порошок универсальный wonder lab 3 кг
"Губки кухонные  ""Цветущая долина"" 2шт, целлюлозная губка с фиброполотном",Хозяйственные товары,Товары для уборки,"Губки, тряпки, салфетки для уборки",губки кухонные цветущая долина 2шт целлюлозная губка с фиброполотном,губки кухонные цветущая долина 2шт целлюлозная губка с фиброполотном
"Средство для мытья стекол и зеркал Galichi 0,2 кг",Хозяйственные товары,Товары для уборки,Стеклоочистители для окон,средство мытья стекол и зеркал galichi 02 кг,средство мытья стекол и зеркал galichi 02 кг
Очиститель плитки ОСНОВИТ СЭЙФСКРИН ЭКСТРА SAl22 (0.5 л),Хозяйственные товары,Бытовая химия,Средства для кухни и дома,очиститель плитки основит сэйфскрин экстра (05 л),очиститель плитки основит сэйфскрин экстра (05 л)
Хозяйственная корзина IDEA пластик,Хозяйственные товары,Товары для уборки,Баки и урны для мусора,хозяйственная корзина idea пластик,хозяйственная корзина idea пластик
Сменный модуль  АКВАФОР В 520-13,Инженерные системы,Фильтры для питьевой воды,Картриджи для воды,сменный модуль аквафор в 520-13,сменный модуль аквафор в 520-13
"Клапан обратный латунь VALTEC VT.151.N.04 1/2""",Инженерные системы,Арматура трубопроводная,Обратные клапаны,клапан обратный латунь valtec vt151n04 1/2,клапан обратный латунь valtec vt151n04 1/2
"Сифон для ванны АНИ Пласт 1 1/2"" 40 мм",Инженерные системы,Системы слива,Сифоны,сифон ванны ани пласт 1 1/2 40 мм,сифон ванны ани пласт 1 1/2 40 мм
Сменный модуль АКВАФОР ULP 1812-50,Инженерные системы,Фильтры для питьевой воды,Картриджи для воды,сменный модуль аквафор ulp 1812-50,сменный модуль аквафор ulp 1812-50
"Фильтроэлемент ""Барьер ФерроНить"" 10 мкм BB 10""",Инженерные системы,Фильтры для питьевой воды,Картриджи для воды,фильтроэлемент барьер ферронить 10 мкм bb 10,фильтроэлемент барьер ферронить 10 мкм bb 10
Вентилятор осевой ERA EURO 4S 100 мм,Инженерные системы,Вентиляция,Вентиляторы вятяжные,вентилятор осевой era euro 4s 100 мм,вентилятор осевой era euro 4s 100 мм
Картридж осадочный Гейзер РР 25- 20ВВ,Инженерные системы,Фильтры магистральные для воды,Фильтры тонкой очистки,картридж осадочный гейзер рр 25- 20вв,картридж осадочный гейзер рр 25- 20вв
Модуль кондиционирования воды Аквафор 38,Инженерные системы,Фильтры для питьевой воды,Фильтры для воды под мойку,модуль кондиционирования воды аквафор 38,модуль кондиционирования воды аквафор 38
"Обратрый клапан ТП-85 НК ПП 160, рыжий",Инженерные системы,Водоотведение,Канализационные трубы,обратрый клапан тп-85 нк пп 160 рыжий,обратрый клапан тп-85 нк пп 160 рыжий
"Обратный клапан ВК ПП 110, серый, RTP",Инженерные системы,Арматура трубопроводная,Двухходовые регулирующие клапаны,обратный клапан вк пп 110 серый rtp,обратный клапан вк пп 110 серый rtp
"Калибратор полипропиленовый VALTEC 16, 20, 26 мм",Инженерные системы,Инструменты для сантехнических работ,Обработка труб,калибратор полипропиленовый valtec 16 20 26 мм,калибратор полипропиленовый valtec 16 20 26 мм
Тройник латунь никелированный VALTEC 20х16х20 мм,Инженерные системы,Трубы и комплектующие,Фитинги для металлопластиковых труб,тройник латунь никелированный valtec 20х16х20 мм,тройник латунь никелированный valtec 20х16х20 мм
"Труба ВК ПП 50х1,8х2000, серый, RTP",Инженерные системы,Системы слива,Трубы для внутренней канализации,труба вк пп 50х18х2000 серый rtp,труба вк пп 50х18х2000 серый rtp
"Кран шаровой латунь никелированный VALTEC 1/2""",Инженерные системы,Арматура трубопроводная,Водоразборные краны,кран шаровой латунь никелированный valtec 1/2,кран шаровой латунь никелированный valtec 1/2
Подводка для воды гибкая Elka г/г 350 см,Инженерные системы,Трубы и комплектующие,Гибкая подводка для воды,подводка воды гибкая elka г/г 350 см,подводка воды гибкая elka г/г 350 см
Отвод ХЕМКОР d160 мм 87° НПВХ для наружной канализации,Инженерные системы,Водоотведение,Фитинги для канализационных труб,отвод хемкор мм 87° нпвх наружной канализации,отвод хемкор мм 87° нпвх наружной канализации
Кронштейн стальной Tenrad с резиновым уплотнением 4 дюйма 107-116 мм,Инженерные системы,Трубы и комплектующие,Инструменты и аксессуары для труб,кронштейн стальной tenrad с резиновым уплотнением 4 дюйма 107-116 мм,кронштейн стальной tenrad с резиновым уплотнением 4 дюйма 107-116 мм
"Угольник латунь никелированный VALTEC 1"" х 26 мм",Инженерные системы,Трубы и комплектующие,Фитинги для металлопластиковых труб,угольник латунь никелированный valtec 1 х 26 мм,угольник латунь никелированный valtec 1 х 26 мм
"Кран вентильный трёхпроходной для бытовой техники 1/2"" х 3/4"" х 1/2"" н/н/в (хром), MPF",Инженерные системы,Трубы и комплектующие,Фитинги для полипропиленовых труб,кран вентильный трёхпроходной бытовой техники 1/2 х 3/4 х 1/2 н/н/в (хром) mpf,кран вентильный трёхпроходной бытовой техники 1/2 х 3/4 х 1/2 н/н/в (хром) mpf
"Фильтр косой латунь VALTEC 3/4""",Инженерные системы,Фильтры магистральные для воды,Фильтры грубой очистки воды,фильтр косой латунь valtec 3/4,фильтр косой латунь valtec 3/4
"Вентиль в сборе PPR 25х90,  белый, RTP",Инженерные системы,Трубы и комплектующие,Фитинги для полипропиленовых труб,вентиль в сборе ppr 25х90 белый rtp,вентиль в сборе ppr 25х90 белый rtp
Магистральный картридж Гейзер FE 20 BB для горячей воды,Инженерные системы,Фильтры магистральные для воды,Фильтрующие картриджи,магистральный картридж гейзер fe 20 bb горячей воды,магистральный картридж гейзер fe 20 bb горячей воды
"Фильтр-кувшин для очистки воды ""БАРЬЕР ТОКИО"" черный Опти-Лайт",Инженерные системы,Фильтры для питьевой воды,Фильтры-кувшины,фильтр-кувшин очистки воды барьер токио черный опти-лайт,фильтр-кувшин очистки воды барьер токио черный опти-лайт
Вентилятор осевой ERA STANDARD 5S вытяжной с индикацией работы D 125,Инженерные системы,Вентиляция,Вентиляторы вятяжные,вентилятор осевой era standard 5s вытяжной с индикацией работы d 125,вентилятор осевой era standard 5s вытяжной с индикацией работы d 125
Подводка для воды гибкая Elka г/ш 120 см,Инженерные системы,Трубы и комплектующие,Гибкая подводка для воды,подводка воды гибкая elka г/ш 120 см,подводка воды гибкая elka г/ш 120 см
Трап для душа АНИ Пласт ТА5102 152х102 мм,Инженерные системы,Водоотведение,Трапы и душевые лотки,трап душа ани пласт та5102 152х102 мм,трап душа ани пласт та5102 152х102 мм
Шланг для подачи воды STOUT SHF-1035 M10 (35мм) х ВР 1/2 500 мм,Инженерные системы,Трубы и комплектующие,Гибкая подводка для воды,шланг подачи воды stout (35мм) х вр 1/2 500 мм,шланг подачи воды stout (35мм) х вр 1/2 500 мм
"Соединитель 19/19 в комплекте с хомутами для сливных шлангов, MP-У",Инженерные системы,Сантехнический крепеж,Фиксаторы для труб,соединитель 19/19 в комплекте с хомутами сливных шлангов mp-у,соединитель 19/19 в комплекте с хомутами сливных шлангов mp-у
Пробка для ванны (раковины) ЧЁРНАЯ c цепочкой из нерж.стали 45 см MASTERPROF,Инженерные системы,Системы слива,Пробки для слива ванны,пробка ванны (раковины) чёрная c цепочкой из нержстали 45 см masterprof,пробка ванны (раковины) чёрная c цепочкой из нержстали 45 см masterprof
"Клапан для радиатора полипропиленовый VALTEC VTp.718.V.02505 3/4""",Инженерные системы,Арматура трубопроводная,Двухходовые регулирующие клапаны,клапан радиатора полипропиленовый valtec vtp718v02505 3/4,клапан радиатора полипропиленовый valtec vtp718v02505 3/4
"Сменный модуль АКВАФОР В510-18 10""",Инженерные системы,Фильтры магистральные для воды,Фильтры тонкой очистки,сменный модуль аквафор в510-18 10,сменный модуль аквафор в510-18 10
"Клапан обратный латунь VALTEC VT.151.N.05 3/4""",Инженерные системы,Арматура трубопроводная,Обратные клапаны,клапан обратный латунь valtec vt151n05 3/4,клапан обратный латунь valtec vt151n05 3/4
"Сменный модуль АКВАФОР В510-18 10""",Инженерные системы,Фильтры магистральные для воды,Фильтрующие картриджи,сменный модуль аквафор в510-18 10,сменный модуль аквафор в510-18 10
Комплект сменных модулей АКВАФОР В 510-03-04-07,Инженерные системы,Фильтры для питьевой воды,Картриджи для воды,комплект сменных модулей аквафор в 510-03-04-07,комплект сменных модулей аквафор в 510-03-04-07
"Кран шаровой латунь никелированный VALTEC 3/4""",Инженерные системы,Арматура трубопроводная,Водоразборные краны,кран шаровой латунь никелированный valtec 3/4,кран шаровой латунь никелированный valtec 3/4
"Угольник комбинированный PPR наружная резьба 32х1,  белый, RTP",Инженерные системы,Трубы и комплектующие,Фитинги для полипропиленовых труб,угольник комбинированный ppr наружная резьба 32х1 белый rtp,угольник комбинированный ppr наружная резьба 32х1 белый rtp
Угольник латунь никелированный VALTEC 20 мм,Инженерные системы,Трубы и комплектующие,Фитинги для металлопластиковых труб,угольник латунь никелированный valtec 20 мм,угольник латунь никелированный valtec 20 мм
"Клапан обратный 3/4"" с фильтром",Инженерные системы,Трубы и комплектующие,Инструменты и аксессуары для труб,клапан обратный 3/4 с фильтром,клапан обратный 3/4 с фильтром
"Заливной клапан WIRQUIN KOMPACT, винт ½",Инженерные системы,Арматура трубопроводная,Двухходовые регулирующие клапаны,заливной клапан wirquin kompact винт ½,заливной клапан wirquin kompact винт ½
Терморегулятор для радиатора SECURIC,Инженерные системы,Трубы и комплектующие,Инструменты и аксессуары для труб,терморегулятор радиатора securic,терморегулятор радиатора securic
"Фильтр косой латунь VALTEC 1""",Инженерные системы,Фильтры магистральные для воды,Фильтры грубой очистки воды,фильтр косой латунь valtec 1,фильтр косой латунь valtec 1
Сменный модуль АКВАФОР ЭФГ 112/250 10 мкм х/в,Инженерные системы,Фильтры магистральные для воды,Фильтры тонкой очистки,сменный модуль аквафор эфг 112/250 10 мкм х/в,сменный модуль аквафор эфг 112/250 10 мкм х/в
Набор уплотнительных прокладок для смесителя MasterProf резина 13 шт,Инженерные системы,Водоотведение,Прокладки и манжеты для канализации,уплотнительных прокладок смесителя masterprof резина 13 шт,уплотнительных прокладок смесителя masterprof резина 13 шт
Соль экстра Барьер таблетированная 25 кг,Инженерные системы,Фильтры для домов и котеджей,Соль и засыпки для фильтров,соль экстра барьер таблетированная 25 кг,соль экстра барьер таблетированная 25 кг
Кронштейн VALTEC D 32-35 мм сталь серый 1 шт,Инженерные системы,Сантехнический крепеж,Фиксаторы для труб,кронштейн valtec d 32-35 мм сталь серый 1 шт,кронштейн valtec d 32-35 мм сталь серый 1 шт
"Труба ВК ПП 32х1,8х500,серый, RTP",Инженерные системы,Системы слива,Трубы для внутренней канализации,труба вк пп 32х18х500серый rtp,труба вк пп 32х18х500серый rtp
Манжета для унитаза WIRQUIN 70717579 110х95 мм,Инженерные системы,Водоотведение,Прокладки и манжеты для канализации,манжета унитаза wirquin 70717579 110х95 мм,манжета унитаза wirquin 70717579 110х95 мм
"Комплект паста уплотнительная универсальная (вода, газ, 25 гр) MULTIPASTE",Инженерные системы,Сантехнический крепеж,"Сантехнический лен, пасты, герметики для труб",комплект паста уплотнительная универсальная (вода газ 25 гр) multipaste,комплект паста уплотнительная универсальная (вода газ 25 гр) multipaste
"Заглушка НК ПП 315, рыжий",Инженерные системы,Водоотведение,Канализационные трубы,заглушка нк пп 315 рыжий,заглушка нк пп 315 рыжий
Вентиль прямоточный полипропиленовый VALTEC VTp.714.0.020 20 мм,Инженерные системы,Трубы и комплектующие,Фитинги для полипропиленовых труб,вентиль прямоточный полипропиленовый valtec vtp7140020 20 мм,вентиль прямоточный полипропиленовый valtec vtp7140020 20 мм
"Соединитель латунь хромированный Арго 3/4"" х 3/4""",Сантехника,Полотенцесушители,Аксессуары для подключения полотенцесушителей,соединитель латунь хромированный арго 3/4 х 3/4,соединитель латунь хромированный арго 3/4 х 3/4
Дозатор для жидкого мыла настольный SPIRAL полирезин,Сантехника,Аксессуары для ванной комнаты,Дозаторы для мыла,дозатор жидкого мыла настольный spiral полирезин,дозатор жидкого мыла настольный spiral полирезин
Водосберегающие насадки NEOPERL Perlator для душа,Сантехника,Запасные части для кухонного оборудования,Рассекатель,водосберегающие насадки neoperl perlator душа,водосберегающие насадки neoperl perlator душа
Экран для ванны МетаКам фронтальный 148х55 см,Сантехника,Ванны и экраны,Экраны под ванну,экран ванны метакам фронтальный 148х55 см,экран ванны метакам фронтальный 148х55 см
Смеситель Rossinka RS27-30 для ванны,Сантехника,Смесители,Комплекты смесителей,смеситель rossinka ванны,смеситель rossinka ванны
"Смеситель ARGO LEDA 25-07/1L встраиваемый с гигиеническим душем, хром",Сантехника,Душевое оборудование,Гигиенический душ,смеситель argo leda 25-07/1l встраиваемый с гигиеническим душем хром,смеситель argo leda 25-07/1l встраиваемый с гигиеническим душем хром
Карниз для штор Verran универсальный бежевый 140-260 см,Сантехника,Текстиль и штанги для ванной комнаты,Карнизы и штанги для штор в ванную,карниз штор verran универсальный бежевый 140-260 см,карниз штор verran универсальный бежевый 140-260 см
"Лента ФУМ GAS 12 мм х 0,1 мм х 10 м",Сантехника,Смесители,Сантехнические принадлежности,лента фум gas 12 мм х 01 мм х 10 м,лента фум gas 12 мм х 01 мм х 10 м
Подсветка для картин и зеркал Navigator NLF-M-003-02 6 Вт 400 мм,Сантехника,Зеркала и светильнки в ванную,Светильники для ванной,подсветка картин и зеркал navigator nlf-m-003-02 6 вт 400 мм,подсветка картин и зеркал navigator nlf-m-003-02 6 вт 400 мм
Душевая система ESKO ST300 хром-никель,Сантехника,Душевое оборудование,Душевые системы,душевая система esko хром-никель,душевая система esko хром-никель
Cмеситель для кухни TOKITO TOK-URA-1013,Сантехника,Смесители,Смесители для раковины,cмеситель кухни tokito tok-,cмеситель кухни tokito tok-
Ершик настенный Fora brass 38х11,Сантехника,Аксессуары для ванной комнаты,Ершики,ершик настенный fora brass 38х11,ершик настенный fora brass 38х11
Умывальник врезной SANITA LUXE ART INS 15x42x42 см,Сантехника,Раковины и пьедесталы,Раковины для ванной,умывальник врезной sanita luxe art ins 15x42x42 см,умывальник врезной sanita luxe art ins 15x42x42 см
Смеситель Rossinka W25-51 с гигиеническим душем встраиваемый,Сантехника,Смесители,Смесители с гигиеническим душем,смеситель rossinka с гигиеническим душем встраиваемый,смеситель rossinka с гигиеническим душем встраиваемый
"Соединитель угловой латунь хромированный Арго 3/4 х 3/4"" Г/Г",Сантехника,Полотенцесушители,Аксессуары для подключения полотенцесушителей,соединитель угловой латунь хромированный арго 3/4 х 3/4 г/г,соединитель угловой латунь хромированный арго 3/4 х 3/4 г/г
Ерш напольный Fora PLEASANT полирезин,Сантехника,Аксессуары для ванной комнаты,Ершики,ерш напольный fora pleasant полирезин,ерш напольный fora pleasant полирезин
"сиденье для унитаза slim, микролифт",Сантехника,Унитазы и инсталяции,Сиденье для унитаза,сиденье унитаза slim микролифт,сиденье унитаза slim микролифт
"Ерш напольный, MARBLE LIGHT, полирезин",Сантехника,Аксессуары для ванной комнаты,Ершики,ерш напольный marble light полирезин,ерш напольный marble light полирезин
Умывальник «Фостер 700» 70 см.,Сантехника,Раковины и пьедесталы,Раковины для ванной,умывальник «фостер 700» 70 см,умывальник «фостер 700» 70 см
Шкаф зеркальный навесной универсальный Cersanit Moduo 60 см белый,Сантехника,Мебель для ванной комнаты,Зеркальные шкафы,шкаф зеркальный навесной универсальный cersanit moduo 60 см белый,шкаф зеркальный навесной универсальный cersanit moduo 60 см белый
Полотенце махровое 30*50 Дед мороз,Сантехника,Текстиль и штанги для ванной комнаты,Полотенца,полотенце махровое 30*50 дед мороз,полотенце махровое 30*50 дед мороз
Манжета для канализации серая ТЭП 50х40 удлин. MPF,Сантехника,Запасные части для кухонного оборудования,Сантехнические прокладки,манжета канализации серая тэп 50х40 удлин mpf,манжета канализации серая тэп 50х40 удлин mpf
Каркас AM.PM GEM для акриловой ванны 170х75 см,Сантехника,Ванны и экраны,Комплектующие для ванн,каркас ampm gem акриловой ванны 170х75 см,каркас ampm gem акриловой ванны 170х75 см
Душевой шланг силиконовый ESKO ERSH16,Сантехника,Душевое оборудование,Шланги для душа,душевой шланг силиконовый esko,душевой шланг силиконовый esko
